"Id"	"Prompt"	"Wavfile"	"RecResult"	"Transcription"	"language"	"meaning"
"10966"	"Sag: Ich habe keine Reservation"	"10966.wav"	"i have no reservation"	"i have no reservation"	"correct"	"correct"
"10967"	"Sag: Ich habe keine Reservation"	"10967.wav"	"i have no reservation"	"i have no reservation"	"correct"	"correct"
"10968"	"Sag: Ich habe keine Reservation"	"10968.wav"	"i don't have any reservation"	"i don't have any reservation"	"correct"	"correct"
"10969"	"Sag: Ich habe keine Reservation"	"10969.wav"	"i haven't got any reservation"	"i haven't got any reservation"	"correct"	"correct"
"10970"	"Frag: 6 Tickets nach London"	"10970.wav"	"i'd like six tickets to london"	"i'd like six tickets to london"	"correct"	"correct"
"10971"	"Sag: Ich möchte am Dienstagmorgen abreisen"	"10971.wav"	"i want to leave on tuesday morning"	"i want to leave on tuesday morning"	"correct"	"correct"
"10972"	"Sag: Ich heisse Paolo"	"10972.wav"	"my name is paolo"	"my name is paolo"	"correct"	"correct"
"10973"	"Sag: Ich heisse Paolo"	"10973.wav"	"my"	"my"	"incorrect"	"incorrect"
"10974"	"Sag: Ich heisse Paolo"	"10974.wav"	"my name is paolo"	"my name is paolo"	"correct"	"correct"
"10975"	"Sag: Ich bin aus Amerika"	"10975.wav"	"i am from america"	"i am from america"	"correct"	"correct"
"10976"	"Frag: ein Ticket nach London"	"10976.wav"	"a ticket to london"	"a ticket to london"	"correct"	"correct"
"10977"	"Sag: Ich möchte am Samstagnachmittag abreisen"	"10977.wav"	"i want to leave at saturday afternoon"	"i want to leave at saturday afternoon"	"incorrect"	"correct"
"10978"	"Sag: Ich möchte am Samstagnachmittag abreisen"	"10978.wav"	"i want to leave saturday afternoon"	"i want to leave saturday afternoon"	"correct"	"correct"
"10979"	"Sag: Ich möchte am Samstagnachmittag abreisen"	"10979.wav"	"i want to leave at saturday afternoon"	"i want to leave at saturday afternoon"	"incorrect"	"correct"
"10980"	"Sag: Ich heisse Mona"	"10980.wav"	"my name is mona"	"my name is mona"	"correct"	"correct"
"10981"	"Sag: Ich bin aus Portugal"	"10981.wav"	"i am from portugal"	"i am from portugal"	"correct"	"correct"
"10982"	"Frag: 6 Tickets nach London"	"10982.wav"	"i'd like six tickets to london"	"i would like six tickets to london"	"correct"	"correct"
"10983"	"Sag: Ich möchte nächste Woche abreisen"	"10983.wav"	"i want to leave next week"	"i want*z to leave next week"	"correct"	"correct"
"10984"	"Sag: Ich heisse Silvia"	"10984.wav"	"my name is silvia"	"my name is silvia"	"correct"	"correct"
"10985"	"Sag: Ich bin aus England"	"10985.wav"	"i am from england"	"i am from england"	"correct"	"correct"
"10986"	"Frag: 3 Tickets nach London"	"10986.wav"	"i'd like three tickets to london"	"i'd like three tickets to london"	"correct"	"correct"
"10987"	"Sag: Ich möchte um 8 Uhr morgen abreisen"	"10987.wav"	"i want to leave at eight o'clock morning"	"i want to leave at eight o'clock morning"	"incorrect"	"correct"
"10988"	"Sag: Ich heisse Jack"	"10988.wav"	"my name is jack"	"my name is jack"	"correct"	"correct"
"10989"	"Sag: Ich bin aus Portugal"	"10989.wav"	"i am from portugal"	"i am from portugal"	"correct"	"correct"
"10990"	"Frag: 2 Tickets nach London"	"10990.wav"	"i'd like two tickets to london"	"i'd like two tickets to london"	"correct"	"correct"
"10991"	"Sag: Ich möchte am Freitagmorgen abreisen"	"10991.wav"	"i want to leave friday morning"	"i want to leave friday morning"	"correct"	"correct"
"10992"	"Sag: Ich möchte am Freitagmorgen abreisen"	"10992.wav"	"i want to leave at friday morning"	"i want to leave at friday morning"	"incorrect"	"correct"
"10993"	"Sag: Ich heisse Jack"	"10993.wav"	"my name is jack"	"my name is jack"	"correct"	"correct"
"10994"	"Sag: Ich heisse Jack"	"10994.wav"	"my name is jack"	"my name is jack"	"correct"	"correct"
"10995"	"Sag: Ich heisse Jack"	"10995.wav"	"my name is jack"	"my name is jack"	"correct"	"correct"
"10996"	"Sag: Ich bin aus Kanada"	"10996.wav"	"i am from canada"	"i am from canada"	"correct"	"correct"
"10997"	"Sag: Ich heisse Maddalena"	"10997.wav"	"my name is maddalena"	"my name is maddalena"	"correct"	"correct"
"10998"	"Sag: Ich bin aus Spanien"	"10998.wav"	"i am from spain"	"i am from spain"	"correct"	"correct"
"10999"	"Sag: Die Hauptstadt von Spanien ist Madrid"	"10999.wav"	"the capital of spain is madrid"	"the capital of spain is madrid"	"correct"	"correct"
"11000"	"Sag: Ich habe 4 jüngere Schwestern"	"11000.wav"	"i have four younger sisters"	"i have four younger sisters"	"correct"	"correct"
"11001"	"Sag: Ich gehe in die Ferien"	"11001.wav"	"i am going for the holidays"	"i am going for the holidays"	"incorrect"	"incorrect"
"11002"	"Sag: Dies ist mein Pass"	"11002.wav"	"yes this is my passport"	"yes this is my passport"	"correct"	"correct"
"11003"	"Sag: Ich heisse Brian"	"11003.wav"	"my name is brian"	"my name is brian"	"correct"	"correct"
"11004"	"Sag: Ich bin aus Schottland"	"11004.wav"	"i'm from scotland"	"i'm from scotland"	"correct"	"correct"
"11005"	"Sag: Ich bin aus Schottland"	"11005.wav"	"i am from scotland"	"i am from scotland"	"correct"	"correct"
"11006"	"Sag: Ich heisse Andy"	"11006.wav"	"my name is andy"	"my name is andy"	"correct"	"correct"
"11007"	"Sag: Ich heisse Andy"	"11007.wav"	"my name is andy"	"my name is andy"	"correct"	"correct"
"11008"	"Sag: Ich bin aus Deutschland"	"11008.wav"	"i am from germany"	"i am from german"	"correct"	"correct"
"11009"	"Sag: Die Hauptstadt von Deutschland ist Berlin"	"11009.wav"	"the capital of germany is berlin"	"the capital of german is berlin"	"correct"	"correct"
"11010"	"Sag: Ich habe 1 Schwester"	"11010.wav"	"i have got one sister"	"i have got one sister"	"correct"	"correct"
"11011"	"Sag: Ich gehe in die Ferien"	"11011.wav"	"i am going for holidays"	"i am going for holidays"	"incorrect"	"incorrect"
"11012"	"Sag: Dies ist mein Pass"	"11012.wav"	"yes this is my passport"	"yes this is my passport"	"correct"	"correct"
"11013"	"Frag: einen Tee"	"11013.wav"	"i'd like a tea"	"i'd like a tea"	"correct"	"correct"
"11014"	"Frag: einen Tee"	"11014.wav"	"i'd like a tea"	"i'd like a tea"	"correct"	"correct"
"11015"	"Frag: ein Steak"	"11015.wav"	"i want a steak"	"i want a steak"	"correct"	"correct"
"11016"	"Frag: mein Steak rare"	"11016.wav"	"i want my steak rare cooked"	"i want my steak rare cooked"	"incorrect"	"correct"
"11017"	"Frag: die Tagessuppe"	"11017.wav"	"i want a daily soup"	"i want a daily soup"	"incorrect"	"correct"
"11018"	"Frag: die Tagessuppe"	"11018.wav"	"i want the soup of the day"	"i want the soup of the day"	"correct"	"correct"
"11019"	"Frag: Ich möchte die Dessertkarte"	"11019.wav"	"i"	"i"	"incorrect"	"incorrect"
"11020"	"Frag: Ich möchte die Dessertkarte"	"11020.wav"	"i'd like the dessert card"	"i'd like the desert card"	"incorrect"	"correct"
"11021"	"Frag: Ich möchte die Dessertkarte"	"11021.wav"	"i'd like the dessert menu"	"i'd like the dessert menu"	"correct"	"correct"
"11022"	"Frag: Zitronenkuchen"	"11022.wav"	"i'd like the citron cake"	"i'd like the citron cake"	"incorrect"	"incorrect"
"11023"	"Frag: Zitronenkuchen"	"11023.wav"	"i'd like the lemon cake"	"i'd like the lemon cake"	"correct"	"correct"
"11024"	"Frag: Ich möchte die Rechnung"	"11024.wav"	"i want the bill"	"i want the bill"	"correct"	"correct"
"11025"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"11025.wav"	"i wish to pay by credit card"	"i wish to pay by credit card"	"correct"	"correct"
"11026"	"Sag: Ich habe keine Reservation"	"11026.wav"	"i have no reservation"	"i have no reservation"	"correct"	"correct"
"11027"	"Sag: Ich habe keine Reservation"	"11027.wav"	"no i haven't got any reservation"	"no i haven't got any reservation"	"correct"	"correct"
"11028"	"Frag: Zimmer für 5 Nächte"	"11028.wav"	"a room for five nights please"	"a room for five nights please"	"correct"	"correct"
"11029"	"Frag: Einzelzimmer"	"11029.wav"	"single room please"	"single room please"	"correct"	"correct"
"11030"	"Frag: Einzelzimmer"	"11030.wav"	"i'd like a single room"	"i'd like a single room"	"correct"	"correct"
"11031"	"Sag: Ich möchte mit Visa bezahlen"	"11031.wav"	"i want to pay by visa"	"i want to pay by visa"	"correct"	"correct"
"11032"	"Sag: Ich möchte mit Visa bezahlen"	"11032.wav"	"i wish to pay by visa card"	"i wish to pay by visa card"	"correct"	"correct"
"11033"	"Sag: Ich möchte mit Visa bezahlen"	"11033.wav"	"i wish to pay by credit card"	"i wish to pay by credit card"	"incorrect"	"incorrect"
"11035"	"Frag: 5 Tickets nach London"	"11035.wav"	"i'd like five tickets to london"	"i'd like five tickets to london"	"correct"	"correct"
"11036"	"Sag: Ich möchte um 15 Uhr morgen abreisen"	"11036.wav"	"i'd like to leave at"	"i'd like to leave a*a"	"incorrect"	"incorrect"
"11037"	"Sag: Ich möchte um 15 Uhr morgen abreisen"	"11037.wav"	"i would like to leave at three o'clock p m tomorrow"	"i'd like to leave at three o'clock p m tomorrow"	"correct"	"correct"
"11038"	"Sag: Ich heisse Maddalena"	"11038.wav"	"my name is maddalena"	"my name is maddalena"	"correct"	"correct"
"11039"	"Sag: Ich bin aus Irland"	"11039.wav"	"i am from ireland"	"i am from ireland"	"correct"	"correct"
"11040"	"Sag: Ich heisse Paul"	"11040.wav"	"my name is paul"	"my name is paul"	"correct"	"correct"
"11041"	"Sag: Ich bin aus Irland"	"11041.wav"	"i am from ireland"	"i am from ireland"	"correct"	"correct"
"11042"	"Frag: ein Ticket nach Westminster"	"11042.wav"	"i'd like a ticket to the <unk>"	"i'd like a ticket to the westminster*z"	"incorrect"	"correct"
"11043"	"Frag: ein Ticket nach Westminster"	"11043.wav"	"i'd like a ticket to westminster"	"i'd like a ticket to the westminster"	"incorrect"	"correct"
"11044"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"11044.wav"	"i wish to pay by credit card"	"i wish to pay by credit card"	"correct"	"correct"
"11047"	"Frag: 3 Musical-Tickets"	"11047.wav"	"i'd like three musical tickets"	"i'd like three musical tickets"	"correct"	"correct"
"11048"	"Sag: Ich möchte am Samstagabend gehen"	"11048.wav"	"i want to go at saturday night"	"i want to go at saturday*z night"	"incorrect"	"correct"
"11049"	"Frag: 3 Tickets für Wicked"	"11049.wav"	"i'd like three tickets for wicked"	"i'd like three tickets for wicked"	"correct"	"correct"
"11050"	"Frag: Ticket für dieses Musical"	"11050.wav"	"i'd like tickets for this musical"	"i'd like tickets for this*z musical"	"correct"	"correct"
"11051"	"Sag: Ich möchte in der siebten Reihe sitzen"	"11051.wav"	"i'd like to sit in the seventh line"	"i'd like to sit in the seventh line"	"incorrect"	"incorrect"
"11052"	"Frag: Tickets für das London Eye"	"11052.wav"	"i'd like tickets for the london eye"	"i'd like tickets for the london eye"	"correct"	"correct"
"11053"	"Frag: 1 Ticket"	"11053.wav"	"i'd like one ticket"	"i'd like one ticket"	"correct"	"correct"
"11054"	"Frag: Wo ist der Zoo?"	"11054.wav"	"where is the zoo"	"where is the zoo"	"correct"	"correct"
"11055"	"Frag: Wo ist die Oxford Street?"	"11055.wav"	"where is the oxford street"	"where is the oxford street"	"incorrect"	"correct"
"11056"	"Frag: Welcher Bus fährt dorthin?"	"11056.wav"	"which bus goes there"	"which bus goes there"	"correct"	"correct"
"11057"	"Sag: Der Tower ist nahe der Tower Bridge"	"11057.wav"	"the tower is near tower bridge"	"the tower is near tower bridge"	"correct"	"correct"
"11058"	"Frag: eine Fanta"	"11058.wav"	"i'd like a fanta"	"i'd like a fanta"	"correct"	"correct"
"11059"	"Frag: eine Fanta"	"11059.wav"	"i'd like a fanta"	"i'd like a fanta xxx"	"correct"	"correct"
"11060"	"Frag: eine Fanta"	"11060.wav"	"i'd like a fanta"	"i'd like a fanta"	"correct"	"correct"
"11061"	"Sag: Ich habe keine Reservation"	"11061.wav"	"no i do not have a reservation"	"no i do not have a reservation"	"correct"	"correct"
"11062"	"Frag: Zimmer für 1 Woche"	"11062.wav"	"can i have a room for one week"	"can i have a room for one week"	"correct"	"correct"
"11063"	"Frag: Suite"	"11063.wav"	"who takes the suite"	"who takes the suite"	"incorrect"	"incorrect"
"11064"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"11064.wav"	"i'd like to buy with a credit card"	"i'd like to buy with a credit card"	"incorrect"	"correct"
"11065"	"Frag: Gibt es ein Fitnessstudio?"	"11065.wav"	"is there a fitness studio"	"is there a fitness studio"	"correct"	"correct"
"11066"	"Frag: Wo ist das Fitnessstudio?"	"11066.wav"	"where is the fitness studio"	"where is the fitness studio"	"correct"	"correct"
"11067"	"Sag: Ich habe keine Reservation"	"11067.wav"	"no i do not have a reservation"	"no i do not have a reservation"	"correct"	"correct"
"11068"	"Frag: Zimmer für 5 Nächte"	"11068.wav"	"i'd like a room for five nights"	"i'd like a room for five nights"	"correct"	"correct"
"11069"	"Frag: Junior Suite"	"11069.wav"	"i'd like a junior suite"	"i'd like a junior*z suite"	"correct"	"correct"
"11070"	"Frag: Junior Suite"	"11070.wav"	"i'd like a junior suite"	"i'd like a junior*z suite"	"correct"	"correct"
"11071"	"Sag: Ich möchte mit Postkarte bezahlen"	"11071.wav"	"i'd like to buy with a post card"	"i'd like to buy with a post card"	"incorrect"	"correct"
"11072"	"Frag: Gibt es eine Hotelbar?"	"11072.wav"	"is there a hotel bar"	"is there an hotel*z bar"	"correct"	"correct"
"11073"	"Frag: Wo ist die Hotelbar?"	"11073.wav"	"where is the hotel bar"	"where is the hotel bar"	"correct"	"correct"
"11074"	"Frag: 3 Tickets nach London"	"11074.wav"	"i'd like three tickets to london"	"i'd like three tickets to london"	"correct"	"correct"
"11076"	"Sag: Ich möchte um 15 Uhr morgen abreisen"	"11076.wav"	"i want to leave at three pm tomorrow"	"i want to leave at three pm tomorrow"	"correct"	"correct"
"11077"	"Sag: Ich heisse Barbara"	"11077.wav"	"my name is barbara"	"my name is barbara"	"correct"	"correct"
"11078"	"Sag: Ich bin aus der Türkei"	"11078.wav"	"i'm from turkey"	"i'm from turkey*z"	"correct"	"correct"
"11079"	"Frag: ein Ticket nach London"	"11079.wav"	"i'd like a ticket to london"	"i'd like a ticket to london"	"correct"	"correct"
"11081"	"Sag: Ich möchte am Donnerstagabend abreisen"	"11081.wav"	"i would like at tuesday evening"	"i would like at tuesday evening"	"incorrect"	"incorrect"
"11082"	"Sag: Ich heisse Jack"	"11082.wav"	"my name is jack"	"my name is jack*z"	"correct"	"correct"
"11083"	"Sag: Ich bin aus Irland"	"11083.wav"	"i'm from ireland"	"i'm from irland*v"	"correct"	"correct"
"11084"	"Sag: Ich heisse John"	"11084.wav"	"my name is john"	"my name is john*z"	"correct"	"correct"
"11085"	"Sag: Ich bin aus Portugal"	"11085.wav"	"i'm from portugal"	"i'm from portugal"	"correct"	"correct"
"11086"	"Sag: Ich bin aus Portugal"	"11086.wav"	"i'm from portugal"	"i am from portugal"	"correct"	"correct"
"11089"	"Sag: Ich gehe in die Ferien"	"11089.wav"	"i go into the holidays"	"i go in the holidays"	"incorrect"	"incorrect"
"11090"	"Sag: Ich gehe in die Ferien"	"11090.wav"	"i go to the holidays"	"i go to the holidays"	"incorrect"	"correct"
"11091"	"Sag: Ich gehe in die Ferien"	"11091.wav"	"i'm going on holidays"	"i am going on holidays"	"incorrect"	"incorrect"
"11092"	"Sag: Dies ist mein Pass"	"11092.wav"	"that's my passport"	"that's my passport"	"correct"	"correct"
"11093"	"Sag: Dies ist mein Pass"	"11093.wav"	"this is my passport"	"this is my passport"	"correct"	"correct"
"11094"	"Sag: Dies ist mein Pass"	"11094.wav"	"yes it is my passport"	"yes it is my passport"	"correct"	"correct"
"11095"	"Frag: ein Ticket zum Trafalgar Square"	"11095.wav"	"can i have a ticket to trafalgar square"	"can i have a ticket to trafalgar*z square*z"	"correct"	"correct"
"11096"	"Sag: Ich möchte mit Mastercard bezahlen"	"11096.wav"	"i'd like to buy with mastercard"	"i'd like to buy with mastercard"	"incorrect"	"correct"
"11097"	"Frag: ein Ticket zum Trafalgar Square"	"11097.wav"	"can i have a ticket to trafalgar square"	"can i have a ticket to trafalgar*z square*z"	"correct"	"correct"
"11098"	"Sag: Ich möchte mit Visa bezahlen"	"11098.wav"	"i'd like to buy with visa"	"i'd like to buy with visa*z"	"incorrect"	"correct"
"11099"	"Frag: ein Ticket nach Westminster"	"11099.wav"	"can i have a ticket to westminster"	"can i have a ticket to westminster*z"	"correct"	"correct"
"11100"	"Sag: Ich möchte mit Postkarte bezahlen"	"11100.wav"	"i'd like to buy with post card"	"i'd like to buy with post card"	"incorrect"	"correct"
"11101"	"Sag: Ich möchte mit Euros bezahlen"	"11101.wav"	"i'd like to buy with euro"	"i'd like to buy with euro"	"incorrect"	"correct"
"11102"	"Sag: Ich habe kleinere Note"	"11102.wav"	"i have smaller notes"	"i have smaller notes"	"correct"	"correct"
"11103"	"Frag: ein Ticket zum Green Park"	"11103.wav"	"can i have a ticket to green park"	"can i have a ticket to green*z park"	"correct"	"correct"
"11104"	"Sag: Ich möchte mit Visa bezahlen"	"11104.wav"	"i'd like to buy with visa"	"i'd like to buy with visa*z"	"incorrect"	"correct"
"11105"	"Sag: Ich möchte mit Visa bezahlen"	"11105.wav"	"i'd like to buy with visa"	"i'd like to buy with visa*z"	"incorrect"	"correct"
"11106"	"Sag: Ich möchte mit Dollars bezahlen"	"11106.wav"	"i'd like to buy with"	"i'd like to buy with dol*a"	"incorrect"	"incorrect"
"11107"	"Sag: Ich möchte mit Dollars bezahlen"	"11107.wav"	"i'd like to buy with dollars"	"i'd like to buy with dollars"	"incorrect"	"correct"
"11108"	"Sag: Ich habe kleinere Note"	"11108.wav"	"i have smaller note"	"i have smaller note"	"incorrect"	"correct"
"11109"	"Frag: ein Ticket zum Green Park"	"11109.wav"	"can i have a ticket to green park"	"can i have a ticket to green*z park"	"correct"	"correct"
"11111"	"Frag: ein Ticket zum Green Park"	"11111.wav"	"can i have a ticket to green park"	"can i have a ticket to green*z park"	"correct"	"correct"
"11112"	"Sag: Ich möchte mit Visa bezahlen"	"11112.wav"	"i'd like to buy with visa"	"i'd like to buy with visa*z"	"incorrect"	"correct"
"11113"	"Sag: Ich möchte mit Visa bezahlen"	"11113.wav"	"i'd like to buy with visa"	"i'd like to buy with visa"	"incorrect"	"correct"
"11114"	"Frag: Zimmer für 7 Nächte"	"11114.wav"	"i'd like a room for seven nights"	"i'd like a room for seven nights"	"correct"	"correct"
"11115"	"Frag: Einzelzimmer"	"11115.wav"	"i'd like a single room"	"i'd like a single room"	"correct"	"correct"
"11116"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"11116.wav"	"i'd like to buy with credit card"	"i'd like to buy with credit card"	"incorrect"	"correct"
"11117"	"Frag: Gibt es ein Fitnessstudio?"	"11117.wav"	"is there a fitness studio"	"is there a fitness studio"	"correct"	"correct"
"11118"	"Frag: 6 Tickets nach London"	"11118.wav"	"i'd like six tickets to london"	"i'd like six tickets to london"	"correct"	"correct"
"11119"	"Sag: Ich möchte am Dienstagmorgen abreisen"	"11119.wav"	"i would like arrive tuesday in the morning"	"i would like arrive*z tuesday in the morning"	"incorrect"	"incorrect"
"11120"	"Sag: Ich möchte am Dienstagmorgen abreisen"	"11120.wav"	"i would like to leave on tuesday morning"	"i would like to leave on tuesday morning"	"correct"	"correct"
"11121"	"Sag: Ich heisse Brian"	"11121.wav"	"my name is brian"	"my name is brian"	"correct"	"correct"
"11122"	"Sag: Ich bin aus Deutschland"	"11122.wav"	"i am from germany"	"i'm from germany*z"	"correct"	"correct"
"11123"	"Sag: Ich heisse Brian"	"11123.wav"	"my name is brian"	"my name is brian"	"correct"	"correct"
"11124"	"Sag: Ich bin aus Portugal"	"11124.wav"	"i'm from portugal"	"i'm from portugal"	"correct"	"correct"
"11128"	"Sag: Ich gehe in die Ferien"	"11128.wav"	"i am going on holidays"	"i am going on holidays"	"incorrect"	"incorrect"
"11129"	"Sag: Dies ist mein Pass"	"11129.wav"	"this is my passport"	"this is my passport*z"	"correct"	"correct"
"11130"	"Sag: Dies ist mein Pass"	"11130.wav"	"this is my passport"	"this is my passport"	"correct"	"correct"
"11131"	"Sag: Dies ist mein Pass"	"11131.wav"	"yes it is my passport"	"yes it is my passport"	"correct"	"correct"
"11132"	"Frag: ein Ticket zum Trafalgar Square"	"11132.wav"	"can i have a ticket to trafalgar square"	"can i have a ticket to trafalgar*z square*z"	"correct"	"correct"
"11133"	"Sag: Ich möchte mit Visa bezahlen"	"11133.wav"	"i'd like to buy with visa"	"i'd like to buy with visa*z"	"incorrect"	"correct"
"11134"	"Sag: Ich möchte mit Pfund bezahlen"	"11134.wav"	"i like to buy with pounds"	"i like to buy with pounds"	"incorrect"	"correct"
"11135"	"Sag: Ich habe nur grosse Noten"	"11135.wav"	"i have got only bigger notes"	"i have got only bigger note"	"incorrect"	"correct"
"11136"	"Sag: Ich heisse Andrew"	"11136.wav"	"my name is andrew"	"my name is andrew"	"correct"	"correct"
"11137"	"Sag: Ich bin aus England"	"11137.wav"	"i'm from england"	"i'm from england"	"correct"	"correct"
"11138"	"Sag: Ich heisse Paul"	"11138.wav"	"my name is paul"	"my name is paul*z"	"correct"	"correct"
"11139"	"Sag: Ich bin aus Schottland"	"11139.wav"	"i'm from scotland"	"i'm from scotland"	"correct"	"correct"
"11140"	"Sag: Ich heisse Nick"	"11140.wav"	"my name is nick"	"my name is nick"	"correct"	"correct"
"11141"	"Sag: Ich bin aus Amerika"	"11141.wav"	"i'm from america"	"i'm from america"	"correct"	"correct"
"11142"	"Sag: Ich heisse Stephanie"	"11142.wav"	"my name is stephanie"	"my name is stephanie"	"correct"	"correct"
"11143"	"Sag: Ich bin aus Österreich"	"11143.wav"	"i'm from austria"	"i'm from austria*z"	"correct"	"correct"
"11145"	"Sag: Österreich ist in Europa"	"11145.wav"	"austria is in europe"	"austria*z is in europe"	"correct"	"correct"
"11146"	"Sag: Das ist okay"	"11146.wav"	"this is okay"	"this is okay"	"correct"	"correct"
"11147"	"Sag: Die Hauptstadt von Österreich ist Wien"	"11147.wav"	"the capital of austria is medium"	"the capital of austria*z is wien*v"	"incorrect"	"correct"
"11148"	"Sag: Ich habe 4 jüngere Schwestern"	"11148.wav"	"i have got four smaller sisters"	"i have got four smaller sisters"	"incorrect"	"correct"
"11149"	"Sag: Ich gehe in die Ferien"	"11149.wav"	"i going on the holidays"	"i going on the holidays"	"incorrect"	"incorrect"
"11150"	"Sag: Dies ist mein Pass"	"11150.wav"	"yes it is my passport"	"yes it is my passport"	"correct"	"correct"
"11151"	"Frag: Zimmer für 7 Nächte"	"11151.wav"	"i'd like a room for seven nights"	"i'd like a room for seven nights"	"correct"	"correct"
"11152"	"Frag: Junior Suite"	"11152.wav"	"junior suite"	"junior*z suite"	"correct"	"correct"
"11153"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"11153.wav"	"i'd like to buy with credit card"	"i'd like to buy*z with credit card"	"incorrect"	"correct"
"11154"	"Sag: Ich möchte mit Euros bezahlen"	"11154.wav"	"i'd like to buy with euro"	"i'd like to buy*z with euro"	"incorrect"	"correct"
"11155"	"Frag: Gibt es ein Schwimmbad?"	"11155.wav"	"is there a swimming pool"	"is there an swimming*z pool"	"correct"	"correct"
"11156"	"Frag: Wo ist das Schwimmbad?"	"11156.wav"	"where is the swimming pool"	"where is the swimming*z pool"	"correct"	"correct"
"11157"	"Sag: Ich habe keine Reservation"	"11157.wav"	"i do not have a reservation"	"i do not have a reservation"	"correct"	"correct"
"11158"	"Sag: Ich habe keine Reservation"	"11158.wav"	"i don't have a reservation"	"i don't have a reservation"	"correct"	"correct"
"11159"	"Frag: Zimmer für 4 Nächte"	"11159.wav"	"i'd like for four nights"	"i'd like*z for four nights"	"incorrect"	"correct"
"11160"	"Frag: Junior Suite"	"11160.wav"	"can i have a junior suite"	"can i have a junior*z suite"	"correct"	"correct"
"11161"	"Sag: Ich möchte mit Mastercard bezahlen"	"11161.wav"	"i'd like to buy with mastercard"	"i'd like to buy with mastercard"	"incorrect"	"correct"
"11162"	"Frag: Gibt es einen Lift?"	"11162.wav"	"is there a lift"	"is there a lift"	"correct"	"correct"
"11163"	"Frag: 4 Tickets nach London"	"11163.wav"	"i'd like four tickets to london"	"i'd like four tickets to london"	"correct"	"correct"
"11164"	"Sag: Ich möchte am Mittwoch abreisen"	"11164.wav"	"i would like at wednesday leave"	"i would like at wednesday leave"	"incorrect"	"correct"
"11165"	"Sag: Ich möchte am Mittwoch abreisen"	"11165.wav"	"i would like to leave on wednesday"	"i would like to leave on wednesday"	"correct"	"correct"
"11166"	"Sag: Ich heisse Patrick"	"11166.wav"	"my name is patrick"	"my name is patrick"	"correct"	"correct"
"11167"	"Sag: Ich bin aus Deutschland"	"11167.wav"	"i'm from german"	"i'm from german*z"	"incorrect"	"correct"
"11168"	"Sag: Ich heisse Silvia"	"11168.wav"	"my name is silvia"	"my name is silvia"	"correct"	"correct"
"11169"	"Sag: Ich bin aus Italien"	"11169.wav"	"i am from italian"	"i am from italian"	"incorrect"	"correct"
"11170"	"Sag: Italien ist nicht in Afrika"	"11170.wav"	"italian is not africa"	"italian is not africa"	"incorrect"	"incorrect"
"11171"	"Sag: Italien ist in Europa"	"11171.wav"	"italian is europe"	"italian is europe"	"incorrect"	"incorrect"
"11172"	"Sag: Das ist okay"	"11172.wav"	"that's okay"	"that's okay"	"correct"	"correct"
"11173"	"Sag: Das ist okay"	"11173.wav"	"this is okay"	"it is okay"	"correct"	"correct"
"11174"	"Sag: Die Hauptstadt von Italien ist Rom"	"11174.wav"	"the capital of italian is rome"	"the capital of italian is rome"	"incorrect"	"correct"
"11176"	"Sag: Ich gehe in die Ferien"	"11176.wav"	"i go in the holidays"	"i go in the holidays"	"incorrect"	"incorrect"
"11177"	"Sag: Dies ist mein Pass"	"11177.wav"	"yes this is my passport"	"yes this is my passport"	"correct"	"correct"
"11178"	"Frag: ein Ticket nach Notting Hill"	"11178.wav"	"i'd like a ticket to notting hill"	"i'd like a ticket to notting hill"	"correct"	"correct"
"11179"	"Sag: Ich möchte mit Postkarte bezahlen"	"11179.wav"	"i'd like to buy with post card"	"i'd like to buy with post card"	"incorrect"	"correct"
"11180"	"Frag: 3 Musical-Tickets"	"11180.wav"	"i'd like three musical tickets"	"i'd like three musical*z tickets"	"correct"	"correct"
"11181"	"Frag: ein Ticket für Donnerstagabend"	"11181.wav"	"i'd tickets for tuesday evening"	"i'd like tickets for tuesday evening"	"incorrect"	"correct"
"11182"	"Frag: ein Ticket für Donnerstagabend"	"11182.wav"	"i would like tickets for tuesday night"	"i would like tickets for thursday*z night"	"correct"	"correct"
"11183"	"Frag: 3 Tickets für König der Löwen"	"11183.wav"	"i would like three tickets for king der lift"	"i would like three tickets for king der*v löwen*v"	"incorrect"	"incorrect"
"11184"	"Sag: Ich möchte in der ersten Reihe sitzen"	"11184.wav"	"i would like sitting in the first row"	"i would like sitting in the first reihe*v"	"incorrect"	"incorrect"
"11185"	"Sag: Ich möchte in der ersten Reihe sitzen"	"11185.wav"	"i want to sit in the first row"	"i want to sit in the first row"	"correct"	"correct"
"11186"	"Frag: Tickets für die National Gallery"	"11186.wav"	"i would like four tickets"	"i would like four tickets nei*v"	"incorrect"	"incorrect"
"11187"	"Frag: Tickets für die National Gallery"	"11187.wav"	"i would like tickets for national gallery"	"i would like tickets for national*v gallery"	"incorrect"	"correct"
"11188"	"Frag: Tickets für die National Gallery"	"11188.wav"	"can i have tickets for national gallery"	"can i have tickets for national*v gallery"	"incorrect"	"correct"
"11189"	"Frag: 4 Tickets"	"11189.wav"	"i need four tickets"	"i need four tickets"	"correct"	"correct"
