Id	Prompt	Wavfile	Transcription	language	meaning
3967	Frag: ein Ticket zum Green Park	3967.wav	i need a ticket to green park	correct	correct
3968	Sag: Ich möchte mit Kreditkarte bezahlen	3968.wav	i would like to pay by credit card	correct	correct
3969	Frag: 2 Tickets nach London	3969.wav	i need two tickets to london	correct	correct
3970	Sag: Ich möchte am Freitagmorgen abreisen	3970.wav	i want to leave on friday morning	correct	correct
3971	Sag: Ich heisse Silvia	3971.wav	my name is silvia	correct	correct
3972	Sag: Ich bin aus England	3972.wav	i am from england	correct	correct
3973	Frag: 6 Tickets nach London	3973.wav	i need six tickets to london	correct	correct
3974	Sag: Ich möchte am Freitagabend abreisen	3974.wav	i want to leave on friday night	correct	correct
3975	Sag: Ich heisse Stephanie	3975.wav	my name is stephanie	correct	correct
3976	Sag: Ich bin aus Deutschland	3976.wav	i am from germany	correct	correct
3977	Frag: 2 Tickets nach London	3977.wav	i need two tickets to london	correct	correct
3978	Sag: Ich möchte um 8 Uhr morgen abreisen	3978.wav	i want to leave at eight o'clock tomorrow	correct	correct
3979	Frag: Wie viel kostet es?	3979.wav	how much is it	correct	correct
3980	Frag: billigeres Ticket	3980.wav	i want a cheaper ticket	correct	correct
3981	Sag: Das ist okay	3981.wav	this is okay	correct	correct
3982	Sag: Ich heisse Paul	3982.wav	my name is paul	correct	correct
3983	Sag: Ich bin aus Australien	3983.wav	i am from australia	correct	correct
3986	Sag: Ich habe keine Reservation	3986.wav	no i do no i do not have a reservation	correct	correct
3987	Frag: Zimmer für 6 Nächte	3987.wav	a room for six nights	correct	correct
3988	Frag: Doppelzimmer	3988.wav	a double room	correct	correct
3989	Frag: Doppelzimmer	3989.wav	i would like a double room	correct	correct
3991	Frag: Gibt es einen Lift?	3991.wav	is there a lift	correct	correct
3992	Frag: 2 Musical-Tickets	3992.wav	i need two musical tickets	correct	correct
3993	Frag: 2 Tickets für Sonntagabend	3993.wav	i need two tickets for sunday night	correct	correct
3995	Sag: Ich möchte in der fünften Reihe sitzen	3995.wav	i would like to sit in the fifth row	correct	correct
3996	Frag: Tickets für das Science Museum	3996.wav	i need tickets for the science museum	correct	correct
3997	Frag: 1 Ticket	3997.wav	i need one ticket	correct	correct
3998	Frag: 2 Musical-Tickets	3998.wav	i need two musical tickets	correct	correct
3999	Frag: 2 Tickets für heute Abend	3999.wav	i need two tickets for tonight	correct	correct
4000	Frag: 2 Tickets für Mamma Mia	4000.wav	i need two tickets for mamma mia	correct	correct
4001	Frag: Ticket für dieses Musical	4001.wav	i need tickets a ticket for this musical	correct	correct
4002	Frag: Ticket für dieses Musical	4002.wav	i need a ticket for this musical	correct	correct
4003	Sag: Ich möchte hinten sitzen	4003.wav	i want to sit in the back	correct	correct
4004	Frag: Tickets für das British Museum	4004.wav	i need tickets for the british museum	correct	correct
4005	Frag: 3 Tickets	4005.wav	i need three tickets	correct	correct
4006	Frag: Zimmer für 5 Nächte	4006.wav	i want a room for five nights	correct	correct
4007	Frag: Twinzimmer	4007.wav	i want a double room	incorrect	incorrect
4008	Frag: Twinzimmer	4008.wav	a twin room please	correct	correct
4009	Sag: Ich möchte mit Visa bezahlen	4009.wav	can i pay with visa	correct	correct
4010	Sag: Ich möchte mit Euros bezahlen	4010.wav	i will pay with euros	incorrect	correct
4011	Frag: Gibt es ein Hotelrestaurant?	4011.wav	are there a hotel restaurant	incorrect	correct
4012	Frag: Gibt es ein Hotelrestaurant?	4012.wav	is there a hotel restaurant	correct	correct
4014	Sag: Ich habe keine Reservation	4014.wav	i have no reservation	correct	correct
4015	Sag: Ich habe keine Reservation	4015.wav	no i don't no i do not have a reservation	correct	correct
4016	Sag: Ich habe keine Reservation	4016.wav	no i don't have a reservation	correct	correct
4017	Frag: Zimmer für 2 Nächte	4017.wav	a room for two nights	correct	correct
4018	Frag: Suite	4018.wav	i'd like a suite	correct	correct
4019	Sag: Ich möchte mit Visa bezahlen	4019.wav	can i pay with visa	correct	correct
4020	Frag: Gibt es einen Lift?	4020.wav	is there a a lift	correct	correct
4021	Frag: Zimmer für 3 Nächte	4021.wav	a room for three nights	correct	correct
4022	Frag: Junior Suite	4022.wav	i'd like a junior suite	correct	correct
4023	Sag: Ich möchte mit Visa bezahlen	4023.wav	can i pay with visa	correct	correct
4024	Frag: Gibt es einen Lebensmittelladen?	4024.wav	is there a grocery store	correct	correct
4025	Frag: Wo ist der Lebensmittelladen?	4025.wav	where is the grocery store	correct	correct
4026	Frag: Einzelzimmer	4026.wav	i would like a single room	correct	correct
4028	Frag: Gibt es einen Coiffeur?	4028.wav	is there a hairdresser	correct	correct
4029	Frag: Wo ist der Coiffeur?	4029.wav	where is the hairdresser	correct	correct
4030	Frag: Zimmer für 5 Nächte	4030.wav	want a room for five nights	incorrect	correct
4031	Frag: Wo ist der Coiffeur?	4031.wav	where is the hairdresser	correct	correct
4032	Frag: Zimmer für 5 Nächte	4032.wav	a room for five nights	correct	correct
4033	Frag: Twinzimmer	4033.wav	a twin room	correct	correct
4034	Sag: Ich möchte mit Kreditkarte bezahlen	4034.wav	i want to pay with a credit card	correct	correct
4035	Frag: Gibt es einen Coiffeur?	4035.wav	do you have a hairdresser	correct	correct
4036	Frag: Wo ist der Coiffeur?	4036.wav	where is the hairdresser	correct	correct
4037	Sag: Mein Badezimmer ist dreckig	4037.wav	my bathroom is dirty	correct	correct
4038	Frag: Wo ist der Haarföhn?	4038.wav	where is the hair blower	incorrect	correct
4039	Frag: Wo ist der Haarföhn?	4039.wav	where is the hair blower	incorrect	correct
4040	Frag: Wo ist der Haarföhn?	4040.wav	where is the hair blower	incorrect	correct
4041	Frag: Zimmer für 3 Nächte	4041.wav	a room for three nights	correct	correct
4042	Frag: Twinzimmer	4042.wav	a twin room	correct	correct
4043	Sag: Ich möchte mit Mastercard bezahlen	4043.wav	i would like to pay with mastercard	correct	correct
4044	Frag: Gibt es eine Hotelbar?	4044.wav	do you have a hotel bar	correct	correct
4045	Frag: Wo ist die Hotelbar?	4045.wav	where is the hotel bar	correct	correct
4046	Sag: Mein WC ist dreckig	4046.wav	my toilet is dirty	correct	correct
4047	Sag: Im Zimmer hat es keinen Haarföhn	4047.wav	in the room is	incorrect	incorrect
4048	Sag: Im Zimmer hat es keinen Haarföhn	4048.wav	the room has not a hair dryer	incorrect	correct
4049	Sag: Im Zimmer hat es keinen Haarföhn	4049.wav	in the room isn't a hair dryer	incorrect	correct
4050	Frag: Zimmer für 6 Nächte	4050.wav	a room for six nights	correct	correct
4051	Frag: Twinzimmer	4051.wav	a twin room	correct	correct
4052	Frag: ein Ticket zum Trafalgar Square	4052.wav	a ticket to trafalgar square	correct	correct
4053	Frag: ein Ticket zum Trafalgar Square	4053.wav	a ticket to trafalgar square	correct	correct
4058	Sag: Ich möchte mit Mastercard bezahlen	4058.wav	can i pay by master card	correct	correct
4061	Frag: ein Ticket zum Trafalgar Square	4061.wav	can i have a ticket to trafalgar square	correct	correct
4062	Sag: Ich möchte mit Visa bezahlen	4062.wav	can i pay with a visa	incorrect	correct
4063	Sag: Ich möchte mit Pfund bezahlen	4063.wav	can i pay with pfund	incorrect	incorrect
4064	Sag: Ich möchte mit Pfund bezahlen	4064.wav	can i pay with pounds	correct	correct
4065	Frag: 3 Musical-Tickets	4065.wav	can i have three musical tickets	correct	correct
4066	Sag: Ich möchte heute Abend gehen	4066.wav	can i go this evening	correct	correct
4067	Sag: Ich möchte heute Abend gehen	4067.wav	i want to go this evening	correct	correct
4068	Sag: Ich möchte heute Abend gehen	4068.wav	can i go this evening	correct	correct
4069	Frag: 3 Tickets für das Phantom der Oper	4069.wav	i want three tickets for the phantom of the opera	correct	correct
4070	Sag: Ich möchte hinten sitzen	4070.wav	can i sit for behind	incorrect	incorrect
4071	Sag: Ich möchte hinten sitzen	4071.wav	i want to sit in the back	correct	correct
4072	Sag: Ich möchte hinten sitzen	4072.wav	can i sit in the back	correct	correct
4073	Frag: Tickets für das London Eye	4073.wav	can i have tickets for the london eye	correct	correct
4075	Frag: 4 Tickets für morgen Abend	4075.wav	i would like four tickets for tomorrow evening	correct	correct
4079	Frag: mein Steak rare	4079.wav	i want steak rare	incorrect	correct
4080	Frag: mein Steak rare	4080.wav	i want a rare steak	correct	correct
4081	Frag: mein Steak rare	4081.wav	i would like to have a steak rare	incorrect	correct
4083	Frag: etwas Kartoffelstock	4083.wav	i would like to have some of the smashed potatoes	incorrect	incorrect
4085	Frag: Ich möchte die Dessertkarte	4085.wav	i would like the dessert card	incorrect	correct
4087	Frag: weisse Stiefel	4087.wav	would like white boots	incorrect	correct
4088	Frag: weisse Stiefel	4088.wav	i would like white boots	correct	correct
4089	Frag: Grösse 41	4089.wav	forty one	correct	correct
4090	Frag: Grösse 41	4090.wav	forty one	correct	correct
4091	Frag: Jeans	4091.wav	i want some jeans	correct	correct
4092	Frag: Jeans	4092.wav	i would like to have some jeans	correct	correct
4093	Frag: weisse Jeans	4093.wav	i want white jeans	correct	correct
4094	Frag: eine L	4094.wav	big	incorrect	correct
4095	Frag: eine L	4095.wav	big	incorrect	correct
4097	Frag: Wie viel kostet die Jeans?	4097.wav	how much do the jeans cost	correct	correct
4098	Sag: Dies ist zu teuer	4098.wav	no this is too expensive	correct	correct
4099	Frag: Welcher Bus fährt dorthin?	4099.wav	which bus drives there	incorrect	correct
4100	Sag: Marble Arch ist gegenüber dem Hyde Park	4100.wav	marble arch is in front of the hyde park	incorrect	correct
4102	Frag: Gibt es einen Lift?	4102.wav	is there a lift	correct	correct
4103	Frag: Wo ist der Lift?	4103.wav	and where is the lift	correct	correct
4104	Frag: Wo ist der Lift?	4104.wav	there is the lift	incorrect	incorrect
4105	Frag: Wo ist der Lift?	4105.wav	where is the lift	correct	correct
4106	Sag: Ich bin aus Deutschland	4106.wav	i am from germany	correct	correct
4107	Sag: Ich bin aus Spanien	4107.wav	i am from spain	correct	correct
4108	Sag: Ich möchte um 16 Uhr morgen abreisen	4108.wav	i would like to leave tomorrow at four p m	correct	correct
4109	Sag: Ich bin aus Australien	4109.wav	i am from australia	correct	correct
4110	Sag: Ich heisse Janet	4110.wav	my name is janet	correct	correct
4111	Sag: Ich bin aus Österreich	4111.wav	i am from austria	correct	correct
4112	Sag: Ich heisse Erica	4112.wav	my name is erica	correct	correct
4113	Frag: Wo ist der Coiffeur?	4113.wav	where is the hairdresser	correct	correct
4114	Sag: Ich möchte mit Mastercard bezahlen	4114.wav	i want to pay with master card	correct	correct
4115	Frag: Gibt es einen Lebensmittelladen?	4115.wav	does it have a sup supermarket	correct	correct
4116	Frag: Gibt es einen Lebensmittelladen?	4116.wav	is there a grocery store	correct	correct
4117	Frag: Gibt es einen Lebensmittelladen?	4117.wav	is there a grocery store	correct	correct
4118	Frag: Wo ist der Lebensmittelladen?	4118.wav	where is the grocery store	correct	correct
4119	Frag: Wo ist der Lebensmittelladen?	4119.wav	where is the grocery store	correct	correct
4120	Frag: Wo ist der Lebensmittelladen?	4120.wav	where is the grocery store	correct	correct
4121	Sag: Ich möchte um 12 Uhr morgen abreisen	4121.wav	i want to leave at twelve o'clock tomorrow	correct	correct
4122	Sag: Ich möchte um 12 Uhr morgen abreisen	4122.wav	i would like to leave at twelve o'clock tomorrow	correct	correct
4123	Sag: Ich bin aus Schottland	4123.wav	i am from scotland	correct	correct
4125	Frag: Einzelzimmer	4125.wav	a single room	correct	correct
4126	Frag: Einzelzimmer	4126.wav	a single room please	correct	correct
4127	Sag: Ich möchte mit Kreditkarte bezahlen	4127.wav	i want to pay with the credit card	correct	correct
4128	Sag: Ich möchte mit Kreditkarte bezahlen	4128.wav	would i play with my credit card	incorrect	incorrect
4129	Sag: Ich möchte mit Kreditkarte bezahlen	4129.wav	i want to pay by credit card	correct	correct
4130	Frag: Gibt es eine Hotelbar?	4130.wav	is there a hotel bar	correct	correct
4131	Sag: Ich habe keine Reservation	4131.wav	i don't have a reservation	correct	correct
4132	Frag: Zimmer für 7 Nächte	4132.wav	a room for seven nights	correct	correct
4133	Frag: Einzelzimmer	4133.wav	a single room	correct	correct
4134	Sag: Ich möchte mit Kreditkarte bezahlen	4134.wav	i would to pay by credit card	incorrect	correct
4135	Sag: Ich möchte mit Kreditkarte bezahlen	4135.wav	i would to play pay by credit card	incorrect	correct
4136	Sag: Ich möchte mit Kreditkarte bezahlen	4136.wav	i would pay by credit card	incorrect	correct
4137	Frag: Gibt es ein Hotelrestaurant?	4137.wav	is there a hotel restaurant	correct	correct
4138	Frag: Wo ist das Hotelrestaurant?	4138.wav	where is the hotel restaurant	correct	correct
4139	Frag: Zimmer für 3 Nächte	4139.wav	a room for three nights	correct	correct
4140	Frag: Zimmer für 3 Nächte	4140.wav	a room for three nights	correct	correct
4141	Frag: Zimmer für 3 Nächte	4141.wav	a room for three nights	correct	correct
4142	Frag: Einzelzimmer	4142.wav	single room	correct	correct
4143	Frag: Einzelzimmer	4143.wav	a single room	correct	correct
4144	Frag: Einzelzimmer	4144.wav	single room	correct	correct
4145	Sag: Ich möchte mit Visa bezahlen	4145.wav	i want to pay by visa	correct	correct
4146	Sag: Ich möchte mit Visa bezahlen	4146.wav	i would to pay by visa	incorrect	correct
4147	Sag: Ich möchte mit Dollars bezahlen	4147.wav	i would to pay by dollars	incorrect	correct
4148	Frag: Gibt es einen Coiffeur?	4148.wav	is there a coiffeur	incorrect	correct
4149	Frag: Gibt es einen Coiffeur?	4149.wav	is there a hairdresser	correct	correct
4150	Frag: Wo ist der Coiffeur?	4150.wav	where is the hairdresser	correct	correct
4151	Sag: Mein WC ist dreckig	4151.wav	my toilet is dirty	correct	correct
4152	Sag: Im Zimmer hat es kein Shampoo	4152.wav	in the room there's no shampoo	correct	correct
4153	Sag: Im Zimmer hat es kein Shampoo	4153.wav	there is no shampoo in the room	correct	correct
4154	Sag: Im Zimmer hat es kein Shampoo	4154.wav	there is no shampoo in the room	correct	correct
4155	Frag: Wo kann ich ein Shampoo kaufen?	4155.wav	where i can buy shampoo	incorrect	correct
4156	Frag: Wo kann ich ein Shampoo kaufen?	4156.wav	where can i buy shampoo	correct	correct
4157	Frag: 4 Tickets nach London	4157.wav	four tickets to london	correct	correct
4158	Frag: 4 Tickets nach London	4158.wav	four tickets for london	correct	correct
4159	Frag: 4 Tickets nach London	4159.wav	four tickets to london	correct	correct
4161	Sag: Ich habe keine Reservation	4161.wav	i don't have a reservation	correct	correct
4162	Frag: Zimmer für 2 Nächte	4162.wav	i stay for two nights	incorrect	correct
4164	Frag: Doppelzimmer	4164.wav	i would like a double room	correct	correct
4165	Sag: Ich möchte mit Postkarte bezahlen	4165.wav	i would pay with post card	incorrect	correct
4166	Frag: Gibt es ein Schwimmbad?	4166.wav	do you have a swimming pool	correct	correct
4167	Frag: Wo ist das Schwimmbad?	4167.wav	where is the swimming pool	correct	correct
4168	Frag: Zimmer für 1 Woche	4168.wav	don't you hahaha i would have a room for one week	incorrect	correct
4171	Frag: Twinzimmer	4171.wav	twin room	correct	correct
4172	Frag: Twinzimmer	4172.wav	a twin room please	correct	correct
4174	Sag: Ich möchte mit Kreditkarte bezahlen	4174.wav	i want to pay with credit card	incorrect	correct
4175	Frag: Gibt es einen Lebensmittelladen?	4175.wav	do you have a supermarket	correct	correct
4176	Frag: Gibt es einen Lebensmittelladen?	4176.wav	is there a supermarket	correct	correct
4177	Frag: Gibt es einen Lebensmittelladen?	4177.wav	is there a grocery store	correct	correct
4178	Frag: Wo ist der Lebensmittelladen?	4178.wav	where is the grocery store	correct	correct
4179	Sag: Das WC ist dreckig	4179.wav	the toilet is dirty	correct	correct
4180	Sag: Im Zimmer hat es keinen Haarföhn	4180.wav	i could not i could not find the	incorrect	incorrect
4181	Sag: Im Zimmer hat es keinen Haarföhn	4181.wav	i could not find the ha hairdryer	correct	correct
4182	Sag: Im Zimmer hat es keinen Haarföhn	4182.wav	i could not find the hairdryer	correct	correct
4183	Frag: Wo kann ich einen Haarföhn kaufen?	4183.wav	where i can buy a hairdryer	correct	correct
4184	Frag: Wo kann ich einen Haarföhn kaufen?	4184.wav	where can i buy a hairdryer	correct	correct
4185	Sag: Ich habe keine Reservation	4185.wav	abi du dubbel	incorrect	incorrect
4186	Sag: Ich habe keine Reservation	4186.wav	no i haven't a	incorrect	incorrect
4187	Sag: Ich habe keine Reservation	4187.wav	no i have no reservation	correct	correct
4188	Sag: Ich habe keine Reservation	4188.wav	no i haven't got a reservation	correct	correct
4189	Frag: Zimmer für 2 Nächte	4189.wav	a room for two nights	correct	correct
4190	Frag: Doppelzimmer	4190.wav	a double room	correct	correct
4191	Frag: Doppelzimmer	4191.wav	a room for two person	incorrect	incorrect
4192	Frag: Doppelzimmer	4192.wav	i would like a double room	correct	correct
4194	Frag: Gibt es ein Hotelrestaurant?	4194.wav	is there a hotel restaurant	correct	correct
4195	Frag: Wo ist das Hotelrestaurant?	4195.wav	where is the hotel restaurant	correct	correct
4196	Frag: ein Ticket nach London	4196.wav	i would have a ticket to london	incorrect	correct
4197	Frag: ein Ticket nach London	4197.wav	i would one ticket to	incorrect	incorrect
4199	Sag: Ich möchte um 16 Uhr morgen abreisen	4199.wav	i would like to leave tomorrow at four p m	correct	correct
4200	Sag: Ich heisse Michelle	4200.wav	my name is michelle	correct	correct
4201	Sag: Ich bin aus Kanada	4201.wav	i am from canada	correct	correct
4202	Sag: Ich heisse Andy	4202.wav	my name is andy	correct	correct
4203	Sag: Ich bin aus Deutschland	4203.wav	i am from germany	correct	correct
4204	Sag: Die Hauptstadt von Deutschland ist Berlin	4204.wav	the capital of my country is berlin	incorrect	incorrect
4205	Sag: Die Hauptstadt von Deutschland ist Berlin	4205.wav	the capital of germany is berlin	correct	correct
4206	Sag: Ich habe 2 ältere Schwestern	4206.wav	i have two older sisters	correct	correct
4207	Sag: Ich gehe in die Ferien	4207.wav	i am on holiday	correct	correct
4208	Sag: Dies ist mein Pass	4208.wav	this is my passport	correct	correct
4209	Sag: Mir geht es gut	4209.wav	i am good	correct	correct
4210	Sag: Mir geht es gut	4210.wav	i am good	correct	correct
4211	Sag: Ich möchte mit Kreditkarte bezahlen	4211.wav	i will pay with credit card	incorrect	correct
4212	Sag: Ich möchte mit Kreditkarte bezahlen	4212.wav	i will pay with credit card	incorrect	correct
4213	Frag: Gibt es ein Fitnessstudio?	4213.wav	gives here a fitness studio	incorrect	correct
4214	Frag: Wo ist das Fitnessstudio?	4214.wav	where is the fitness studio	correct	correct
4215	Frag: Wo ist das Fitnessstudio?	4215.wav	where is the fitness studio	correct	correct
4216	Sag: Das WC ist dreckig	4216.wav	the wc is sale	incorrect	incorrect
4217	Sag: Das WC ist dreckig	4217.wav	the wc is sale	incorrect	incorrect
4219	Frag: Zimmer für 3 Nächte	4219.wav	can i have a room for three nights	correct	correct
4220	Frag: Junior Suite	4220.wav	can i have a junior suite	correct	correct
4222	Sag: Ich möchte mit Postkarte bezahlen	4222.wav	i like pay with post card	incorrect	correct
4223	Frag: Gibt es einen Coiffeur?	4223.wav	gives here a hairdresser	incorrect	correct
4224	Frag: Wo ist der Coiffeur?	4224.wav	where is the hairdresser	correct	correct
4225	Frag: Wo ist der Coiffeur?	4225.wav	where is the hairdresser	correct	correct
4226	Frag: Wo ist das Science Museum?	4226.wav	where is the science museum	correct	correct
4227	Frag: Wo ist das Science Museum?	4227.wav	where is the single ience museum	incorrect	incorrect
4228	Frag: Wo ist das Science Museum?	4228.wav	where is the science museum	correct	correct
4229	Frag: Wo ist der Tower?	4229.wav	where is the tower	correct	correct
4230	Frag: Wo ist der Tower?	4230.wav	where is the tower	correct	correct
4231	Frag: Wo ist der Tower?	4231.wav	can you give me the directions to the tower of london	correct	correct
4232	Frag: Welcher Bus fährt dorthin?	4232.wav	which bus goes there	correct	correct
4233	Sag: Marble Arch ist gegenüber dem Hyde Park	4233.wav	the marble arch is nei on the other side of hyde park	incorrect	incorrect
4234	Sag: Marble Arch ist gegenüber dem Hyde Park	4234.wav	the arch is at the other side opposite hyde park	incorrect	incorrect
4236	Sag: Ich habe keine Reservation	4236.wav	i don't have a reservation	correct	correct
4237	Sag: Ich habe keine Reservation	4237.wav	i haven't a reservation	incorrect	correct
4238	Sag: Ich habe keine Reservation	4238.wav	i don't have a reservation	correct	correct
4239	Sag: Ich habe keine Reservation	4239.wav	i haven't reservation	incorrect	correct
4240	Sag: Ich habe keine Reservation	4240.wav	i haven't reservation	incorrect	correct
4241	Sag: Ich habe keine Reservation	4241.wav	i have not a reservation	incorrect	correct
4243	Sag: Ich habe keine Reservation	4243.wav	no you are a dubbel	incorrect	incorrect
4244	Sag: Ich habe keine Reservation	4244.wav	i don't haven't a reservation	incorrect	correct
4245	Sag: Ich habe keine Reservation	4245.wav	you are a dubbel	incorrect	incorrect
4246	Sag: Ich habe keine Reservation	4246.wav	kuckuck	incorrect	incorrect
4247	Sag: Ich habe keine Reservation	4247.wav	i don't haven't a reservation i don't haven't a reservation	incorrect	correct
4248	Sag: Ich habe keine Reservation	4248.wav	grüessech frau käser	incorrect	incorrect
4249	Sag: Ich habe keine Reservation	4249.wav	funktioniert nid jo guet muesch nüt meh säge	incorrect	incorrect
4250	Frag: Zimmer für 3 Nächte	4250.wav	can i have a room for three nights please can i have a room for three nights	correct	correct
4251	Frag: Suite	4251.wav	can i have a suite	correct	correct
4252	Frag: Suite	4252.wav	suite	correct	correct
4254	Sag: Ich möchte mit Visa bezahlen	4254.wav	i would pay with visa	incorrect	correct
4255	Frag: Gibt es ein Fitnessstudio?	4255.wav	gives here a fitness studio	incorrect	incorrect
4256	Frag: Wo ist das Fitnessstudio?	4256.wav	where is the fitness studio	correct	correct
4257	Frag: Wo ist das Fitnessstudio?	4257.wav	where is the fitness studio	correct	correct
4258	Frag: Wo ist das Fitnessstudio?	4258.wav	where is the fitness studio	correct	correct
4259	Frag: 4 Musical-Tickets	4259.wav	can i have four musical tickets	correct	correct
4260	Frag: 4 Musical-Tickets	4260.wav	i would like buy four musical tickets	incorrect	correct
4261	Frag: 4 Musical-Tickets	4261.wav	i will pay four musical tickets	incorrect	incorrect
4262	Frag: ein Ticket für Mittwochabend	4262.wav	can i have a ticket for midday night	incorrect	incorrect
4264	Sag: Ich habe keine Reservation	4264.wav	i don't have a reservation	correct	correct
4265	Sag: Mir geht es gut	4265.wav	i'm fine	correct	correct
4266	Frag: Stiefel	4266.wav	i want to have shoes	incorrect	incorrect
4267	Frag: Stiefel	4267.wav	i would like some boots	correct	correct
4268	Frag: weisse Stiefel	4268.wav	i would like white boots	correct	correct
4269	Frag: Grösse 39	4269.wav	thirty-nine	correct	correct
4270	Frag: ein T-Shirt	4270.wav	i would like a t-shirt	correct	correct
4271	Frag: ein T-Shirt	4271.wav	i will like a t-shirt	incorrect	correct
4272	Frag: ein T-Shirt	4272.wav	i would like a t-shirt	correct	correct
4273	Sag: Mir geht es gut	4273.wav	i'm fine	correct	correct
4274	Frag: Sandalen	4274.wav	i would like sandals	correct	correct
4276	Frag: rote Sandalen	4276.wav	i would like red sandals	correct	correct
4277	Frag: rote Sandalen	4277.wav	red sandals	correct	correct
4278	Frag: Grösse 42	4278.wav	forty-two	correct	correct
4279	Frag: Hosen	4279.wav	i would like trousers	correct	correct
4280	Frag: Hosen	4280.wav	i am looking for trousers	correct	correct
4281	Frag: pinkige Hosen	4281.wav	i would like pink trousers	correct	correct
4283	Frag: Wie viel kostet die Hose?	4283.wav	how much does the trousers cost	incorrect	correct
4284	Sag: Die Hose ist zu teuer	4284.wav	this trousers is too teuer	incorrect	incorrect
4286	Frag: Wo ist das Naturhistorische Museum?	4286.wav	i am looking for the naturally naturally history museum	incorrect	correct
4287	Frag: Wo ist das Naturhistorische Museum?	4287.wav	i am looking for the natury history museum	incorrect	correct
4288	Frag: Wo ist Big Ben?	4288.wav	where are the big ben	incorrect	correct
4289	Frag: Wo ist Big Ben?	4289.wav	where is the big ben	incorrect	correct
4290	Frag: Welcher Bus fährt dorthin?	4290.wav	which bus goes there	correct	correct
4291	Sag: Marble Arch ist gegenüber dem Hyde Park	4291.wav	marble arch is vis à vis the hyde park	incorrect	incorrect
4292	Frag: ein Ticket nach Notting Hill	4292.wav	a billet to nothing hill	incorrect	incorrect
4293	Frag: ein Ticket nach Notting Hill	4293.wav	a billet to notting hill	incorrect	incorrect
4294	Frag: ein Ticket nach Notting Hill	4294.wav	i would like a ticket to notting hill	correct	correct
4296	Sag: Ich möchte mit Mastercard bezahlen	4296.wav	can i pay be mastercard	incorrect	correct
4297	Sag: Ich möchte mit Mastercard bezahlen	4297.wav	can i pay with mastercard	correct	correct
4299	Frag: 5 Tickets nach London	4299.wav	i would like boy five tickets to london	incorrect	correct
4300	Frag: 5 Tickets nach London	4300.wav	i would like five tickets to london	correct	correct
4302	Sag: Ich möchte am Sonntagnachmittag abreisen	4302.wav	i would like to leave on sunday afternoon	correct	correct
4304	Sag: Ich heisse Sarah	4304.wav	my name is sarah	correct	correct
4305	Sag: Ich bin aus Österreich	4305.wav	i am from austrish	incorrect	incorrect
4306	Sag: Ich heisse Silvia	4306.wav	my name is silvia	correct	correct
4307	Sag: Ich bin aus England	4307.wav	i am from england	correct	correct
4308	Frag: ein Ticket zum Piccadilly Circus	4308.wav	tickets to the pissadilly circus	incorrect	correct
4309	Frag: ein Ticket zum Piccadilly Circus	4309.wav	i want a ticket to piccasarticircus	incorrect	incorrect
4310	Frag: ein Ticket zum Piccadilly Circus	4310.wav	i want a ticket to piccadilly circus	correct	correct
4311	Sag: Ich möchte mit Mastercard bezahlen	4311.wav	i want buy with the master card	incorrect	correct
4312	Sag: Ich möchte mit Mastercard bezahlen	4312.wav	can i pay diner's card	incorrect	incorrect
4313	Frag: 4 Musical-Tickets	4313.wav	four musical tickets	correct	correct
4314	Frag: 4 Musical-Tickets	4314.wav	i want pay four musical tickets	incorrect	correct
4315	Frag: 4 Musical-Tickets	4315.wav	i would like to buy four musical tickets	correct	correct
4317	Frag: 4 Tickets für Mittwochabend	4317.wav	four tickets for wednesday evening	correct	correct
4318	Frag: 4 Tickets für Mittwochabend	4318.wav	i want four tickets for wednesday night	correct	correct
4319	Frag: 4 Tickets für das Phantom der Oper	4319.wav	i want four tickets for the phantom of the opera	correct	correct
4321	Sag: Ich möchte vorne sitzen	4321.wav	i would like to sit in the front	correct	correct
4322	Frag: Tickets für das London Eye	4322.wav	tickets for the london eye	correct	correct
4323	Frag: Tickets für das London Eye	4323.wav	tickets for the london eye	incorrect	correct
4324	Frag: Tickets für das London Eye	4324.wav	can i also have tickets for the london eye	correct	correct
4325	Frag: 2 Tickets	4325.wav	two tickets	correct	correct
4326	Frag: 2 Tickets	4326.wav	can i have two tickets	correct	correct
4327	Frag: eine Limonade	4327.wav	i would like a lemonade	correct	correct
4328	Frag: einen Hamburger	4328.wav	i would like a hamburger	correct	correct
4329	Frag: meinen Hamburger rare	4329.wav	i would like my hamburger rare	correct	correct
4330	Frag: meinen Hamburger rare	4330.wav	i would like my hamburger rare	correct	correct
4331	Frag: meinen Hamburger rare	4331.wav	i would like my hamburger rare	correct	correct
4332	Frag: Auberginen	4332.wav	i would like aubergines	correct	correct
4333	Frag: Auberginen	4333.wav	could i have some aubergines	correct	correct
4334	Frag: Ich möchte die Dessertkarte	4334.wav	i would like the dessert card	incorrect	correct
4335	Frag: Ich möchte die Dessertkarte	4335.wav	i would like the dessert plan	incorrect	incorrect
4336	Frag: Ich möchte die Dessertkarte	4336.wav	the dessert menu	correct	correct
4337	Frag: Custard Tart	4337.wav	i would like the custard tart	correct	correct
4338	Frag: Ich möchte die Rechnung	4338.wav	i would like to pay	correct	correct
4339	Frag: Ich möchte die Rechnung	4339.wav	i would like the check	correct	correct
4340	Sag: Ich möchte mit Kreditkarte bezahlen	4340.wav	i would like pay with the credit card	incorrect	correct
